Job Title,Job Address,Job Link
Data Scientist,"United States
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-at-advantage-technical-3931902355?position=47&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=NIMQcDyFPX2nyQp2QrQzOw%3D%3D&trk=public_jobs_jserp-result_search-card
AI Scientist,"Sunnyvale, CA
Be an early applicant
3 weeks ago",https://www.linkedin.com/jobs/view/ai-scientist-at-lucid-commerce-3935988993?position=48&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=5NjKlUNmcEPUBJ0P7xECkQ%3D%3D&trk=public_jobs_jserp-result_search-card
Expression of Interest - Data Scientist,"Phoenix, AZ
2 weeks ago",https://www.linkedin.com/jobs/view/expression-of-interest-data-scientist-at-marlee-fingerprint-for-success-3925603544?position=49&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=qL3aKSPM7nY%2BQ%2FBGN0hK5g%3D%3D&trk=public_jobs_jserp-result_search-card
"Data Scientist, Marketing & Operations Analytics","United States
Actively Hiring
5 days ago",https://www.linkedin.com/jobs/view/data-scientist-marketing-operations-analytics-at-coalition-inc-3934206907?position=50&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=ZoOCWbc5oSdj9ZyjkNcVrg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"United States
5 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-elder-research-3932021863?position=51&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=OMoFHjP%2BeZU4YLanLZfBCw%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist,"Tampa, FL
Actively Hiring
5 days ago",https://www.linkedin.com/jobs/view/junior-data-scientist-at-carlton-fields-3932346835?position=52&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=AsBK66iLPK7ZDbUIqxM5wg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist (L5) - Identity Algorithms,"Los Gatos, CA
Actively Hiring
4 days ago",https://www.linkedin.com/jobs/view/data-scientist-l5-identity-algorithms-at-netflix-3934968272?position=53&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=4RYrhN9jt1FecWXsKFjtCw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"New York, NY
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-at-cvs-health-3926813087?position=54&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=iOZ6LgroxutPdDf5T1aQHw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Austin, TX
6 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-epaypolicy-3933318532?position=55&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=hsEveNuMU7ztIWUNzl6kVQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"New York, NY
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-at-the-sporting-news-3931976754?position=56&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=vWIPC3RnkN7MBUHsh5sm8g%3D%3D&trk=public_jobs_jserp-result_search-card
Data Science,"United States
Actively Hiring
1 day ago",https://www.linkedin.com/jobs/view/data-science-at-stackroute-learning-3936213888?position=57&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=2BzaUQooptmgSqDbpOh9dw%3D%3D&trk=public_jobs_jserp-result_search-card
"Data Scientist III, Research","New York, NY
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-iii-research-at-google-3930129176?position=58&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=U4gkpRLevOieuHwzAQXahw%3D%3D&trk=public_jobs_jserp-result_search-card
